feature,mean,std
MEDICOS_SUS_TOTAL,0.10837887067395262,0.007297349954102048
CASOS_ZIKA_CUMUL_LAG1,0.10273224043715845,0.01181024777956089
LEITOS_OBSTETRICIA_SUS,0.06939890710382512,0.008000069674316126
LEITOS_UTI_NEONATAL_SUS,0.06010928961748633,0.00671733658090557
UFRES_31.0,0.047905282331511825,0.00570508552399484
UFRES_35.0,0.03351548269581056,0.006106759422309725
UFRES_22.0,0.02732240437158469,0.0014109228947932389
FEBRE_GES_1.0,0.017668488160291422,0.0029427130093631136
UFRES_29.0,0.015482695810564651,0.002732240437158465
FEBRE_GES_9.0,0.014936247723132956,0.00563192161520593
UFRES_25.0,0.013479052823315107,0.001669426482679708
IDADEGES,0.0111111111111111,0.00879047614718664
FEBRE_GES_2.0,0.010018214936247698,0.007159651732981254
UFRES_32.0,0.008743169398907092,0.0034367872976526874
UFRES_52.0,0.007468123861566478,0.002223416323448769
UFRES_28.0,0.005282331511839711,0.0005464480874317058
UFRES_43.0,0.004918032786885224,0.0036475381410748333
UFRES_33.0,0.004553734061930781,0.003927843106165367
UFRES_41.0,0.004189435336976299,0.0008347132413398795
UFRES_26.0,0.0036429872495446157,0.003906668595542304
UFRES_50.0,0.0036429872495445936,0.0
UFRES_42.0,0.0032786885245901453,0.001784691980169896
UFRES_53.0,0.0023679417122039912,0.0011663249977109057
UFRES_11.0,0.0018214936247722968,0.0
UFRES_17.0,0.0018214936247722968,0.0014109228947932174
UFRES_21.0,0.001457194899817832,0.0013630810152181947
UFRES_23.0,0.00018214936247722412,0.0009809043364543747
UFRES_12.0,0.0,0.0
FEBRE_GES_nan,0.0,0.0
UFRES_16.0,0.0,0.0
UFRES_14.0,0.0,0.0
UFRES_15.0,0.0,0.0
EXANT_GES_nan,0.0,0.0
UFRES_nan,0.0,0.0
UFRES_24.0,-0.0003642987249544871,0.0017846919801698992
EXANT_GES_2.0,-0.0007285974499089409,0.0020283294582258767
EXANT_GES_3.0,-0.0007285974499089409,0.002726162030436397
UFRES_13.0,-0.0010928961748634058,0.0012082421822788485
EXANT_GES_4.0,-0.0016393442622951004,0.0020688190695083
UFRES_51.0,-0.0034608378870674195,0.000546448087431689
UFRES_27.0,-0.005100182149362487,0.001092896174863378
EXANT_GES_1.0,-0.009289617486338808,0.004918032786885255
EXANT_GES_5.0,-0.01311475409836067,0.0021242083405629566
EXANT_GES_9.0,-0.01712204007285975,0.0034751883476027124
